Subject,Question,A,B,C,D,Answer
Hindi,'उज्ज्वल' का सही संधि विच्छेद है?,उत + ज्वल,उत + जवल,उज् + ज्वल,उद + ज्वल,a
Hindi,'महोदय' में कौन सी संधि है?,दीर्घ संधि,यण संधि,गुण संधि,वृद्धि संधि,c
Hindi,'यथाशक्ति' में कौन सा समास है?,तत्पुरुष,अव्ययीभाव,द्वंद्व,बहुव्रीहि,b
Hindi,'दशानन' में कौन सा समास है?,द्विगु,बहुव्रीहि,कर्मधारय,तत्पुरुष,b
Hindi,'अत्याचार' शब्द में कौन सा उपसर्ग है?,अति,अत,आ,अत्य,a
Hindi,'लिखावट' में कौन सा प्रत्यय है?,वट,आवट,हट,त,b
Hindi,'अमृत' का पर्यायवाची शब्द नहीं है?,सुधा,पीयूष,अमिय,रसाल,d
Hindi,'आँख' का पर्यायवाची शब्द है?,लोचन,पावक,वसन,प्रभा,a
Hindi,'इहलोक' का विलोम शब्द है?,परलोक,स्वर्गलोक,देवलोक,आकाश,a
Hindi,'गरल' का विलोम शब्द है?,सुधा,विष,शरबत,रस,a
Hindi,शुद्ध शब्द का चयन करें?,कवियत्री,कवयित्री,कवित्री,कवीयत्री,b
Hindi,शुद्ध वर्तनी वाला शब्द कौन सा है?,आशिर्वाद,आशीर्वाद,आसीर्वाद,आरशीवाद,b
Hindi,'ईद का चाँद होना' मुहावरे का अर्थ है?,बहुत दिनों बाद दिखाई देना,बहुत खुश होना,त्योहार मनाना,नाराज होना,a
Hindi,'नौ दो ग्यारह होना' मुहावरे का अर्थ है?,गिनती करना,भाग जाना,लड़ाई करना,चुप रहना,b
Hindi,जिसके समान कोई दूसरा न हो (वाक्यांश के लिए एक शब्द)?,अद्वितीय,अनुपम,सर्वश्रेष्ठ,असीम,a
Hindi,जो सब कुछ जानता हो?,अल्पज्ञ,बहुज्ञ,सर्वज्ञ,विज्ञ,c
Hindi,'आम' का तत्सम रूप है?,आम्र,अम्र,अमिय,रसाल,a
Hindi,'कर्म' का तद्भव रूप है?,काम,क्रिया,कृत,कार्य,a
Hindi,'कमल' का पर्यायवाची है?,जलज,जलद,पयोद,वारिद,a
Hindi,'स्वागत' का संधि विच्छेद है?,स्व + आगत,सु + आगत,स + आगत,स्वा + गत,b
Hindi,'विद्यालय' में कौन सी संधि है?,दीर्घ,गुण,वृद्धि,अयादि,a
Hindi,'पंचवटी' में कौन सा समास है?,द्वंद्व,बहुव्रीहि,द्विगु,कर्मधारय,c
Hindi,'राजपुत्र' में कौन सा समास है?,तत्पुरुष,कर्मधारय,द्वंद्व,अव्ययीभाव,a
