Subject,Question,A,B,C,D,Answer
PTET Hindi,विद्यालय शब्द में कौन सी संधि है?,दीर्घ संधि,गुण संधि,वृद्धि संधि,यण संधि,a
PTET Hindi,यथाशक्ति में कौन सा समास है?,तत्पुरुष,कर्मधारय,अव्ययीभाव,द्विगु,c
PTET Hindi,कमल का पर्यायवाची शब्द नहीं है?,पंकज,जलज,अम्बुद,सरोज,c
PTET Hindi,स्वागत का सही संधि विच्छेद क्या है?,स्व + आगत,सु + आगत,स + आगत,स्वा + गत,b
PTET Hindi,जो सब कुछ जानता हो (वाक्यांश के लिए एक शब्द)?,अल्पज्ञ,बहुज्ञ,सर्वज्ञ,अज्ञ,c
PTET Hindi,इत्यादि शब्द में कौन सी संधि है?,यण संधि,गुण संधि,दीर्घ संधि,अयादि संधि,a
PTET Hindi,नीलकंठ में कौन सा समास है?,द्विगु,द्वंद्व,बहुव्रीहि,कर्मधारय,c
PTET Hindi,उपेक्षा का विलोम शब्द है?,अपेक्षा,सापेक्ष,निरपेक्ष,सम्मान,a
PTET Hindi,अग्नि का तद्भव रूप है?,आग,अनल,पावक,दहन,a
PTET Hindi,अनुराधा का विलोम शब्द है?,विराधा,अराधा,विराग,इनमें से कोई नहीं,c (अनुराग का विराग होता है, प्रश्न सुधार: अनुराग का विलोम?) - Let's replace. अनुराग का विलोम?,विराग,द्वेष,प्रेम,श्रद्धा,a
PTET Hindi,अंधे की लकड़ी मुहावरे का अर्थ है?,गंवार व्यक्ति,अनपढ़ व्यक्ति,एकमात्र सहारा,बिल्कुल असमर्थ,c
PTET Hindi,शुद्ध शब्द का चयन कीजिए?,उज्जवल,उज्वल,उज्ज्वल,उजवल,c
PTET Hindi,महेश का सही संधि विच्छेद है?,महा + ईश,महि + ईश,मही + ईश,महा + इश,a
PTET Hindi,पावक में कौन सी संधि है?,अयादि,यण,गुण,वृद्धि,a
PTET Hindi,जिसकी कोई उपमा न दी जा सके?,अनुपम,अद्वितीय,अनंत,अजेय,a
PTET Hindi,कान भरना मुहावरे का अर्थ है?,धोखा देना,चालाकी करना,चुगली करना,असर न होना,c
PTET Hindi,सज्जन का संधि विच्छेद है?,सत् + जन,सज् + जन,सद् + जन,स + जन,a
PTET Hindi,चौराहा में कौन सा समास है?,द्वंद्व,द्विगु,तत्पुरुष,कर्मधारय,b
PTET Hindi,अमृत का पर्यायवाची है?,सुधा,व्योम,पावक,वारि,a
PTET Hindi,संस्कार शब्द में किस उपसर्ग का प्रयोग हुआ है?,सम्,सन,संस,स,a
PTET Hindi,लिखावट में कौन सा प्रत्यय है?,वट,आवट,हट,त,b
