Subject,Question,A,B,C,D,Answer
science,Which vitamin is known as Ascorbic Acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,c
science,What is the unit of Force?,Joule,Newton,Watt,Pascal,b
science,The pH value of pure water is?,0,7,14,1,b
science,Which gas is used in fire extinguishers?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,c
science,The powerhouse of the cell is?,Nucleus,Mitochondria,Ribosome,Golgi Body,b
science,Which metal is liquid at room temperature?,Iron,Gold,Mercury,Silver,c
science,Deficiency of Iron causes?,Scurvy,Goitre,Anaemia,Rickets,c
science,The speed of light is maximum in?,Water,Glass,Vacuum,Diamond,c
science,Chemical formula of common salt is?,Na2CO3,NaCl,KCl,NaOH,b
science,Who discovered Penicillin?,Alexander Fleming,Louis Pasteur,Edward Jenner,Robert Koch,a
science,Which organ purifies blood in the human body?,Heart,Lungs,Kidney,Liver,c
science,Sound travels fastest in?,Solid,Liquid,Gas,Vacuum,a
science,The hardest substance in the human body is?,Bone,Enamel,Skull,Nail,b
science,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,b
science,What is the main constituent of Biogas?,Methane,Propane,Butane,Ethane,a
science,Which lens is used to correct Myopia (Near-sightedness)?,Convex,Concave,Cylindrical,Bifocal,b
science,The boiling point of water is?,100°C,0°C,50°C,200°C,a
science,Which blood group is the universal donor?,A,B,AB,O,d
science,Photosynthesis takes place in?,Roots,Stem,Leaves,Flowers,c
science,The study of fungi is called?,Phycology,Mycology,Virology,Botany,b
science,Which acid is found in lemon?,Acetic Acid,Citric Acid,Lactic Acid,Tartaric Acid,b
science,Electric current is measured by?,Voltmeter,Ammeter,Barometer,Thermometer,b
science,The heavily used chemical in car batteries is?,Sulfuric Acid,Nitric Acid,Hydrochloric Acid,Citric Acid,a
science,Which gas is responsible for Global Warming?,Oxygen,Carbon Dioxide,Nitrogen,Argon,b
science,How many bones are there in an adult human body?,200,206,300,210,b
